the_geom,school_id,school_nm,sch_addr,grade_cat,grades,sch_type,x,y,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu
"{'type': 'Point', 'coordinates': [-87.61223910523854, 41.801204166742274]}",610587,DYETT ARTS HS,"555 E 51ST ST, 60615",HS,"9, 10, 11, 12",Traditional,-87.61223911,41.80120417,10,7,21192,218,10
"{'type': 'Point', 'coordinates': [-87.66572105551441, 41.74312177077344]}",400111,LEARN - PERKINS,"1700 W 83RD ST, 60620",ES,"K, 1, 2, 3, 4, 5, 6, 7",Traditional,-87.66572106,41.74312177,59,70,21554,532,13
"{'type': 'Point', 'coordinates': [-87.70520632189692, 41.93943320993384]}",610568,PATHWAYS - AVONDALE HS,"3100 W BELMONT AVE, 60618",HS,"9, 10, 11, 12",Options,-87.70520632,41.93943321,39,22,21538,425,20
"{'type': 'Point', 'coordinates': [-87.6395207211878, 41.72362690608982]}",610027,KIPLING,"9351 S LOWE AVE, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.63952072,41.72362691,59,72,21554,631,13
"{'type': 'Point', 'coordinates': [-87.60172726635133, 41.753747955954495]}",609712,HIRSCH HS,"7740 S INGLESIDE AVE, 60619",HS,"9, 10, 11, 12",Traditional,-87.60172727,41.75374796,61,67,21546,497,35
"{'type': 'Point', 'coordinates': [-87.68406493864751, 41.84544601584807]}",400164,INSTITUTO - LOZANO HS,"2570 S BLUE ISLAND AVE, 60608",HS,"9, 10, 11, 12",Options,-87.68406494,41.84544602,43,33,14920,204,26
"{'type': 'Point', 'coordinates': [-87.6594189761571, 41.87910254299057]}",610177,SKINNER,"1260 W ADAMS ST, 60607",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.65941898,41.87910254,44,29,14917,91,46
"{'type': 'Point', 'coordinates': [-87.7593983851352, 41.89361221140248]}",610000,HOWE,"720 N LOREL AVE, 60644",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.75939839,41.89361221,32,26,22216,673,45
"{'type': 'Point', 'coordinates': [-87.64034074984382, 41.83959485632559]}",609979,HEALY,"3010 S PARNELL AVE, 60616",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.64034075,41.83959486,40,58,21194,155,48
"{'type': 'Point', 'coordinates': [-87.64912434694988, 41.76389597409205]}",610565,CAMELOT - EXCEL ENGLEWOOD HS,"7141 S MORGAN ST, 60621",HS,"8, 9, 10, 11, 12",Options,-87.64912435,41.76389597,11,66,21559,512,32
"{'type': 'Point', 'coordinates': [-87.67776251684462, 42.017087591807865]}",609865,JORDAN,"7414 N WOLCOTT AVE, 60626",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.67776252,42.01708759,9,10,21853,52,5
"{'type': 'Point', 'coordinates': [-87.6777609807152, 41.90705300511754]}",610229,PRITZKER,"2009 W SCHILLER ST, 60622",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.67776098,41.90705301,4,25,21560,481,41
"{'type': 'Point', 'coordinates': [-87.73217877767887, 41.941677603980125]}",610159,SCAMMON,"4201 W HENDERSON ST, 60641",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.73217878,41.9416776,21,16,22618,329,21
"{'type': 'Point', 'coordinates': [-87.6064738469046, 41.657404970392605]}",609848,ALDRIDGE,"630 E 131ST ST, 60827",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.60647385,41.65740497,47,51,4460,9,43
"{'type': 'Point', 'coordinates': [-87.74009743580562, 41.80757850768547]}",400009,GLOBAL CITIZENSHIP,"4647 W 47TH ST, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.74009744,41.80757851,56,53,22248,606,8
"{'type': 'Point', 'coordinates': [-87.63475051652762, 41.74886822530019]}",610300,WESTCOTT,"409 W 80TH ST, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.63475052,41.74886823,59,40,21554,1,31
"{'type': 'Point', 'coordinates': [-87.69600602219909, 41.902849698067484]}",400131,YCCS - CAMPOS,"2739 W DIVISION ST, 60622",HS,"9, 10, 11, 12",Options,-87.69600602,41.9028497,4,25,21560,543,49
"{'type': 'Point', 'coordinates': [-87.78197453752607, 41.95886803640001]}",610179,SMYSER,"4310 N MELVINA AVE, 60634",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.78197454,41.95886804,52,15,22254,131,19
"{'type': 'Point', 'coordinates': [-87.71954083262511, 41.76678528200232]}",610006,HURLEY,"3849 W 69TH PL, 60629",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.71954083,41.76678528,58,63,21867,317,15
"{'type': 'Point', 'coordinates': [-87.79060442456198, 41.77655627006089]}",610087,BLAIR,"6751 W 63RD PL, 60638",ES,"PK, K, 1, 2",Specialty,-87.79060442,41.77655627,7,62,22268,336,6
"{'type': 'Point', 'coordinates': [-87.71776967268043, 41.691220742563694]}",609753,CHICAGO AGRICULTURE HS,"3857 W 111TH ST, 60655",HS,"9, 10, 11, 12",Traditional,-87.71776967,41.69122074,33,73,4447,264,42
"{'type': 'Point', 'coordinates': [-87.62713680544576, 41.80913475766682]}",610237,BEETHOVEN,"25 W 47TH ST, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.62713681,41.80913476,37,4,14924,415,9
"{'type': 'Point', 'coordinates': [-87.61432001021045, 41.65373298145689]}",610364,DUBOIS,"330 E 133RD ST, 60827",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.61432001,41.65373298,47,51,4460,10,43
"{'type': 'Point', 'coordinates': [-87.6455769359237, 41.906878795409305]}",400170,NOBLE - ACADEMY HS,"1443 N OGDEN AVE, 60610",HS,"9, 10, 11, 12",Traditional,-87.64557694,41.9068788,54,37,14926,108,46
"{'type': 'Point', 'coordinates': [-87.61614052358689, 41.796759564523725]}",609819,BURKE,"5356 S KING DR, 60615",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.61614052,41.79675956,10,7,21192,401,9
"{'type': 'Point', 'coordinates': [-87.63430552124312, 41.669444023185676]}",609902,METCALFE,"12339 S NORMAL AVE, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.63430552,41.66944402,19,50,21861,7,22
"{'type': 'Point', 'coordinates': [-87.75711559858577, 41.94876357956595]}",609949,GRAY,"3730 N LARAMIE AVE, 60641",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.7571156,41.94876358,21,15,22618,231,50
"{'type': 'Point', 'coordinates': [-87.69494501175217, 41.89937657321203]}",400022,CHIARTS HS,"2714 W AUGUSTA BLVD, 60622",HS,"9, 10, 11, 12",Traditional,-87.69494501,41.89937657,4,25,21560,543,49
"{'type': 'Point', 'coordinates': [-87.71879729303554, 41.893235610921494]}",610133,WARD L,"646 N LAWNDALE AVE, 60624",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.71879729,41.89323561,30,24,21572,584,46
"{'type': 'Point', 'coordinates': [-87.57326751567172, 41.73717393436813]}",609674,CHICAGO VOCATIONAL HS,"2100 E 87TH ST, 60617",HS,"9, 10, 11, 12",Traditional,-87.57326752,41.73717393,25,41,21202,431,35
"{'type': 'Point', 'coordinates': [-87.6819380493148, 41.899565775669664]}",609863,COLUMBUS,"1003 N LEAVITT ST, 60622",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.68193805,41.89956578,4,25,21560,476,11
"{'type': 'Point', 'coordinates': [-87.77717419891077, 41.934192162778025]}",610046,LYON,"2941 N MCVICKER AVE, 60634",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.7771742,41.93419216,52,19,22254,81,21
"{'type': 'Point', 'coordinates': [-87.59625661667715, 41.72853414286835]}",610124,WASHINGTON H ES,"9130 S UNIVERSITY AVE, 60619",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.59625662,41.72853414,61,43,21546,472,35
"{'type': 'Point', 'coordinates': [-87.6913325114168, 41.964365404163686]}",610220,WATERS,"4540 N CAMPBELL AVE, 60625",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.69133251,41.9643654,20,6,21849,621,18
"{'type': 'Point', 'coordinates': [-87.64484149476914, 41.90510911968547]}",610534,SKINNER NORTH,"640 W SCOTT ST, 60610",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.64484149,41.90510912,54,37,14926,108,46
"{'type': 'Point', 'coordinates': [-87.63016447884768, 41.725609216477146]}",609895,TURNER-DREW,"9300 S PRINCETON AVE, 60620",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.63016448,41.72560922,59,45,21554,187,13
"{'type': 'Point', 'coordinates': [-87.61739045569273, 41.71043494922231]}",609800,BENNETT,"10115 S PRAIRIE AVE, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.61739046,41.71043495,19,45,21861,570,43
"{'type': 'Point', 'coordinates': [-87.65247334562714, 41.96554746165572]}",610394,UPLIFT HS,"900 W WILSON AVE, 60640",HS,"9, 10, 11, 12",Traditional,-87.65247335,41.96554746,15,31,22616,19,39
"{'type': 'Point', 'coordinates': [-87.71049242849388, 41.95089127550274]}",400027,CICS - IRVING PARK,"3820 N SPAULDING AVE, 60618",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.71049243,41.95089128,39,16,21538,325,20
"{'type': 'Point', 'coordinates': [-87.55248342628984, 41.71658801500331]}",610054,MARSH,"9822 S EXCHANGE AVE, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.55248343,41.71658802,25,48,21202,526,47
"{'type': 'Point', 'coordinates': [-87.69702979922431, 41.773881080230375]}",610053,MARQUETTE,"6550 S RICHMOND ST, 60629",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.6970298,41.77388108,58,64,21867,382,31
"{'type': 'Point', 'coordinates': [-87.6343566919171, 41.78149781662673]}",400086,URBAN PREP - ENGLEWOOD HS,"6201 S STEWART AVE, 60621",HS,"9, 10, 11, 12",Traditional,-87.63435669,41.78149782,11,66,21559,166,4
"{'type': 'Point', 'coordinates': [-87.69918700902618, 41.88294992462371]}",610251,CATHER,"2908 W WASHINGTON BLVD, 60612",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.69918701,41.88294992,28,28,21184,50,46
"{'type': 'Point', 'coordinates': [-87.72888429293124, 41.775305387403]}",610291,LEE,"6448 S TRIPP AVE, 60629",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.72888429,41.77530539,58,63,21867,6,15
"{'type': 'Point', 'coordinates': [-87.78083975510181, 41.789961252949645]}",609718,KENNEDY HS,"6325 W 56TH ST, 60638",HS,"9, 10, 11, 12",Traditional,-87.78083976,41.78996125,7,53,22268,590,15
"{'type': 'Point', 'coordinates': [-87.7589284007225, 41.79904639800409]}",610206,TWAIN,"5134 S LOTUS AVE, 60638",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.7589284,41.7990464,7,53,22268,607,8
"{'type': 'Point', 'coordinates': [-87.70419859112481, 41.81106861004235]}",610170,COLUMBIA EXPLORERS,"4520 S KEDZIE AVE, 60632",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.70419859,41.81106861,56,55,22248,640,8
"{'type': 'Point', 'coordinates': [-87.62834918762451, 41.85974068123684]}",609990,SOUTH LOOP,"1601 S DEARBORN ST, 60616",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.62834919,41.85974068,40,34,21194,330,9
"{'type': 'Point', 'coordinates': [-87.61721417905216, 41.77990049437768]}",610263,DULLES,"6311 S CALUMET AVE, 60637",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.61721418,41.77990049,60,67,22260,122,4
"{'type': 'Point', 'coordinates': [-87.66713618981208, 41.98902853931404]}",609730,SENN HS,"5900 N GLENWOOD AVE, 60660",HS,"9, 10, 11, 12",Traditional,-87.66713619,41.98902854,14,76,4451,539,16
"{'type': 'Point', 'coordinates': [-87.68690614584497, 41.90262579239756]}",609759,CLEMENTE HS,"1147 N WESTERN AVE, 60622",HS,"9, 10, 11, 12",Traditional,-87.68690615,41.90262579,4,25,21560,541,41
"{'type': 'Point', 'coordinates': [-87.70580994472155, 41.69573386232775]}",610082,MOUNT GREENWOOD,"10841 S HOMAN AVE, 60655",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.70580994,41.69573386,33,73,4447,369,42
"{'type': 'Point', 'coordinates': [-87.68444182735207, 42.01014998457513]}",609779,ARMSTRONG G,"2110 W GREENLEAF AVE, 60645",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.68444183,42.01014998,12,20,22528,268,27
"{'type': 'Point', 'coordinates': [-87.62478771975209, 41.827783857475865]}",400066,PERSPECTIVES - MATH & SCI HS,"3663 S WABASH AVE, 60653",HS,"6, 7, 8, 9, 10, 11, 12",Traditional,-87.62478772,41.82778386,36,1,4301,446,9
"{'type': 'Point', 'coordinates': [-87.68913886416303, 41.79771437940252]}",610096,NIGHTINGALE,"5250 S ROCKWELL ST, 60632",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.68913886,41.79771438,56,61,22248,778,8
"{'type': 'Point', 'coordinates': [-87.71067948006811, 41.867272714660956]}",400046,LEARN - BUTLER,"1132 S HOMAN AVE, 60624",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.71067948,41.86727271,30,30,21572,98,14
"{'type': 'Point', 'coordinates': [-87.69600587941666, 41.84794743255508]}",609921,TELPOCHCALLI,"2832 W 24TH BLVD, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.69600588,41.84794743,57,32,21569,203,1
"{'type': 'Point', 'coordinates': [-87.62371943749264, 41.72533227933456]}",609939,GILLESPIE,"9301 S STATE ST, 60619",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.62371944,41.72533228,61,45,21546,554,43
"{'type': 'Point', 'coordinates': [-87.66117465983103, 41.80724155809459]}",609964,HAMLINE,"4747 S BISHOP ST, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.66117466,41.80724156,37,59,14924,677,4
"{'type': 'Point', 'coordinates': [-87.5575500338436, 41.73462672050231]}",610323,BOWEN HS,"2710 E 89TH ST, 60617",HS,"9, 10, 11, 12",Traditional,-87.55755003,41.73462672,25,42,21202,508,37
"{'type': 'Point', 'coordinates': [-87.71921626106868, 41.78789897071234]}",610120,PECK,"3826 W 58TH ST, 60629",ES,"PK, K, 1, 2, 3, 4",Traditional,-87.71921626,41.78789897,58,60,21867,774,6
"{'type': 'Point', 'coordinates': [-87.70068059995435, 41.864145843192894]}",400059,NORTH LAWNDALE - COLLINS HS,"1313 S SACRAMENTO DR, 60623",HS,"9, 10, 11, 12",Traditional,-87.7006806,41.86414584,57,30,21569,132,14
"{'type': 'Point', 'coordinates': [-87.69873871979613, 41.87786063190469]}",400047,LEARN - CAMPBELL,"212 S FRANCISCO AVE, 60612",ES,"K, 1, 2, 3, 4, 5, 6",Traditional,-87.69873872,41.87786063,28,28,21184,51,46
"{'type': 'Point', 'coordinates': [-87.6368507726918, 41.77024998310754]}",610592,ENGLEWOOD STEM HS,"6835 S NORMAL BLVD, 60621",HS,9,Traditional,-87.63685077,41.77024998,11,66,21559,479,32
"{'type': 'Point', 'coordinates': [-87.84104144264347, 41.97371477761898]}",609874,DIRKSEN,"8601 W FOSTER AVE, 60656",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.84104144,41.97371478,31,75,4448,8,29
"{'type': 'Point', 'coordinates': [-87.65728743906135, 41.92320352237402]}",610059,MAYER,"2250 N CLIFTON AVE, 60614",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.65728744,41.92320352,16,68,21190,797,34
"{'type': 'Point', 'coordinates': [-87.69959365143868, 41.93747577593346]}",400082,ACERO - FUENTES,"2845 W BARRY AVE, 60618",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.69959365,41.93747578,39,22,21538,466,20
"{'type': 'Point', 'coordinates': [-87.69261439880513, 41.74536545069099]}",400031,CICS - WRIGHTWOOD,"8130 S CALIFORNIA AVE, 60652",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.6926144,41.74536545,8,69,4300,243,30
"{'type': 'Point', 'coordinates': [-87.77684656597604, 41.943054491083934]}",610340,CHICAGO ACADEMY HS,"3400 N AUSTIN AVE, 60634",HS,"9, 10, 11, 12",Traditional,-87.77684657,41.94305449,52,17,22254,459,44
"{'type': 'Point', 'coordinates': [-87.65065315648948, 41.83385390963364]}",609777,ARMOUR,"950 W 33RD PL, 60608",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.65065316,41.83385391,43,58,14920,171,48
"{'type': 'Point', 'coordinates': [-87.65993281794726, 41.79768483257739]}",610037,LIBBY,"5300 S LOOMIS BLVD, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.65993282,41.79768483,37,59,14924,790,4
"{'type': 'Point', 'coordinates': [-87.71060878865049, 41.971504443754554]}",610212,ALBANY PARK,"4929 N SAWYER AVE, 60625",ES,"7, 8",Traditional,-87.71060879,41.97150444,20,14,21849,750,20
"{'type': 'Point', 'coordinates': [-87.74112862663208, 41.938988428455]}",400162,INTRINSIC HS,"4540 W BELMONT AVE, 60641",HS,"7, 8, 9, 10, 11, 12",Traditional,-87.74112863,41.93898843,21,16,22618,328,21
"{'type': 'Point', 'coordinates': [-87.62502997955579, 41.80611759760933]}",610380,WILLIAMS HS,"4934 S WABASH AVE, 60615",HS,"9, 10, 11, 12",Traditional,-87.62502998,41.8061176,10,4,21192,448,9
"{'type': 'Point', 'coordinates': [-87.73992023377791, 41.771079072726415]}",610544,AZUELA,"4707 W MARQUETTE RD, 60629",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.73992023,41.77107907,58,63,4300,318,15
"{'type': 'Point', 'coordinates': [-87.66227784586921, 41.802881375773815]}",609682,RICHARDS HS,"5009 S LAFLIN ST, 60609",HS,"9, 10, 11, 12",Traditional,-87.66227785,41.80288138,37,59,14924,677,4
"{'type': 'Point', 'coordinates': [-87.77912305213583, 41.98367169602944]}",609995,HITCH,"5625 N MCVICKER AVE, 60646",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.77912305,41.9836717,18,36,22532,656,50
"{'type': 'Point', 'coordinates': [-87.65230159447607, 41.858064777189085]}",610015,JUNGMAN,"1746 S MILLER ST, 60608",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.65230159,41.85806478,43,33,14920,228,26
"{'type': 'Point', 'coordinates': [-87.70930366576532, 41.97150609733165]}",609794,EDISON,"4929 N SAWYER AVE, 60625",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.70930367,41.9715061,20,14,21849,750,20
"{'type': 'Point', 'coordinates': [-87.70313876271744, 41.861836191854685]}",610274,JOHNSON,"1420 S ALBANY AVE, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.70313876,41.86183619,57,30,21569,132,14
"{'type': 'Point', 'coordinates': [-87.60017682327394, 41.76419586510501]}",610146,REVERE,"1010 E 72ND ST, 60619",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.60017682,41.76419587,61,67,21546,121,33
"{'type': 'Point', 'coordinates': [-87.64296648353971, 41.80751007176614]}",609735,TILDEN HS,"4747 S UNION AVE, 60609",HS,"9, 10, 11, 12",Traditional,-87.64296648,41.80751007,37,59,14924,84,48
"{'type': 'Point', 'coordinates': [-87.58958949846887, 41.73313231350861]}",610312,MCDOWELL,"1419 E 89TH ST, 60619",ES,"PK, K, 1, 2, 3, 4, 5",Traditional,-87.5895895,41.73313231,61,44,21546,491,35
"{'type': 'Point', 'coordinates': [-87.7306783761366, 41.950460506240624]}",610515,DISNEY II ES,"3815 N KEDVALE AVE, 60641",ES,"PK, K, 1, 2, 3, 4, 5, 6",Traditional,-87.73067838,41.95046051,21,16,22618,295,50
"{'type': 'Point', 'coordinates': [-87.5916538108425, 41.748246994760706]}",609786,AVALON PARK,"8045 S KENWOOD AVE, 60619",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.59165381,41.74824699,61,41,21546,133,35
"{'type': 'Point', 'coordinates': [-87.69436444521678, 41.90677063558902]}",400039,ERIE,"1405 N WASHTENAW AVE, 60622",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.69436445,41.90677064,4,25,21560,288,41
"{'type': 'Point', 'coordinates': [-87.73244309565031, 41.9069072058867]}",610100,WEST PARK,"1425 N TRIPP AVE, 60651",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.7324431,41.90690721,5,24,4299,286,49
"{'type': 'Point', 'coordinates': [-87.60850078078482, 41.82772608174157]}",400075,U OF C - DONOGHUE,"707 E 37TH ST, 60653",ES,"PK, K, 1, 2, 3, 4, 5",Traditional,-87.60850078,41.82772608,36,2,4301,221,10
"{'type': 'Point', 'coordinates': [-87.59933993995392, 41.80969549635742]}",400137,LITTLE BLACK PEARL HS,"1060 E 47TH ST, 60653",HS,"9, 10, 11, 12",Options,-87.59933994,41.8096955,36,5,4301,395,10
"{'type': 'Point', 'coordinates': [-87.67369603171088, 41.902914457324314]}",610520,LASALLE II,"1148 N HONORE ST, 60622",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.67369603,41.90291446,4,25,21560,462,41
"{'type': 'Point', 'coordinates': [-87.64041364557242, 41.7111836230372]}",609917,FERNWOOD,"10041 S UNION AVE, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.64041365,41.71118362,19,72,21861,593,22
"{'type': 'Point', 'coordinates': [-87.64599025178921, 41.91394721792516]}",610095,NEWBERRY,"700 W WILLOW ST, 60614",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.64599025,41.91394722,16,68,21190,273,34
"{'type': 'Point', 'coordinates': [-87.63273687421439, 41.757340542215175]}",609971,HARVARD,"7525 S HARVARD, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.63273687,41.75734054,59,67,21554,495,32
"{'type': 'Point', 'coordinates': [-87.73561211047469, 41.94636454357422]}",609729,SCHURZ HS,"3601 N MILWAUKEE AVE, 60641",HS,"9, 10, 11, 12",Traditional,-87.73561211,41.94636454,21,16,22618,327,50
"{'type': 'Point', 'coordinates': [-87.8292957010091, 41.94800702810087]}",609836,CANTY,"3740 N PANAMA AVE, 60634",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.8292957,41.94800703,52,17,22254,445,19
"{'type': 'Point', 'coordinates': [-87.7579525735931, 41.921603957324784]}",609922,BELMONT-CRAGIN,"5252 W PALMER ST, 60639",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.75795257,41.92160396,2,19,22615,307,44
"{'type': 'Point', 'coordinates': [-87.60641917339922, 41.702630001597896]}",610132,POE,"10538 S LANGLEY AVE, 60628",ES,"K, 1, 2, 3, 4, 5, 6",Traditional,-87.60641917,41.70263,19,47,21861,254,43
"{'type': 'Point', 'coordinates': [-87.69739409699163, 41.80830882462766]}",400089,ACERO - MARQUEZ,"2916 W 47TH ST, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.6973941,41.80830882,56,55,22248,85,3
"{'type': 'Point', 'coordinates': [-87.63380633094792, 41.849958316256746]}",609959,HAINES,"247 W 23RD PL, 60616",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.63380633,41.84995832,40,35,21194,3,26
"{'type': 'Point', 'coordinates': [-87.78783043795285, 41.91795167982269]}",400120,ACERO - CLEMENTE,"2050 N NATCHEZ AVE, 60707",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.78783044,41.91795168,3,19,4454,137,7
"{'type': 'Point', 'coordinates': [-87.70461859321622, 42.009288557836605]}",609880,DECATUR,"7030 N SACRAMENTO AVE, 60645",ES,"K, 1, 2, 3, 4, 5, 6",Traditional,-87.70461859,42.00928856,12,20,22528,32,27
"{'type': 'Point', 'coordinates': [-87.66262778223677, 41.900190521181095]}",400051,NOBLE - NOBLE HS,"1010 N NOBLE ST, 60642",HS,"9, 10, 11, 12",Traditional,-87.66262778,41.90019052,49,25,22620,484,11
"{'type': 'Point', 'coordinates': [-87.78269957085675, 41.91759813829029]}",609818,BURBANK,"2035 N MOBILE AVE, 60639",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.78269957,41.91759814,2,19,22615,77,7
"{'type': 'Point', 'coordinates': [-87.6322793822906, 41.79080024412252]}",610173,SHERWOOD,"245 W 57TH ST, 60621",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.63227938,41.79080024,11,66,21559,166,4
"{'type': 'Point', 'coordinates': [-87.65829608025547, 41.989139061002916]}",610196,SWIFT,"5900 N WINTHROP AVE, 60660",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.65829608,41.98913906,14,76,4451,13,16
"{'type': 'Point', 'coordinates': [-87.67594676755327, 41.75985242920214]}",609745,SOUTHSIDE HS,"7342 S HOYNE AVE, 60636",HS,"11, 12",Specialty,-87.67594677,41.75985243,23,65,22257,433,31
"{'type': 'Point', 'coordinates': [-87.76466317335584, 41.960363796686764]}",609766,VAUGHN HS,"4355 N LINDER AVE, 60641",HS,"9, 10, 11, 12",Specialty,-87.76466317,41.9603638,21,15,22618,260,19
"{'type': 'Point', 'coordinates': [-87.73528329703343, 41.83528187363317]}",610385,MULTICULTURAL HS,"3120 S KOSTNER AVE, 60623",HS,"9, 10, 11, 12",Traditional,-87.7352833,41.83528187,57,32,21569,200,28
"{'type': 'Point', 'coordinates': [-87.71258257766713, 41.98155713878022]}",610127,PETERSON,"5510 N CHRISTIANA AVE, 60625",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.71258258,41.98155714,20,13,21849,167,38
"{'type': 'Point', 'coordinates': [-87.6962433009076, 41.85271913493381]}",609966,HAMMOND,"2819 W 21ST PL, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.6962433,41.85271913,57,32,21569,203,1
"{'type': 'Point', 'coordinates': [-87.79560407108087, 41.93176235468928]}",610041,LOCKE J,"2828 N OAK PARK AVE, 60634",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.79560407,41.93176235,52,18,22254,397,44
"{'type': 'Point', 'coordinates': [-87.70734534805288, 41.753749802531985]}",610558,GOODE HS,"7651 S HOMAN AVE, 60652",HS,"9, 10, 11, 12",Traditional,-87.70734535,41.7537498,8,69,4300,498,30
