table_name, num_of_neighbors
8vqd-3345.csv,3210
33c5-b922.csv,3209
tg3t-nh4h.csv,3193
qjvp-rnsx.csv,3191
4p3u-pfnp.csv,3186
ej9h-v6g2.csv,3182
tphr-wtjd.csv,3174
r8mb-budb.csv,3164
twu4-tp2g.csv,3161
km68-5z64.csv,3161
ccgt-mp8e.csv,3161
mq6n-s45c.csv,3160
ducj-28wv.csv,3143
pc34-d3sx.csv,3142
f5cd-6fbs.csv,3136
narn-kyx4.csv,3122
ci93-uc8s.csv,3117
k65y-fzgq.csv,3097
a8wp-rerh.csv,3097
bss9-579f.csv,3096
m3tj-a2pb.csv,3095
k8hv-44tq.csv,3095
9rz4-mjek.csv,3091
s7cx-86ha.csv,3089
rsnd-bbih.csv,3088
tqtj-sjs8.csv,3085
r9z2-6j3f.csv,3078
jz44-s3dt.csv,3071
h922-d8e5.csv,3071
cm6g-t7ye.csv,3070
w6yt-hctp.csv,3068
va74-3m6c.csv,3065
szgz-ysuz.csv,3064
87fx-28ei.csv,3061
p5v2-fwzn.csv,3060
i2y3-sx2e.csv,3058
4hiy-398i.csv,3039
wavz-fkw8.csv,3038
yunp-vs8g.csv,3024
3kx3-7svp.csv,3019
d4iy-9uh7.csv,2990
9rxf-re6u.csv,2990
eevf-vb98.csv,2974
cz36-mpdq.csv,2973
3gkd-ddzn.csv,2973
pvwn-aqw2.csv,2968
ucdy-byxd.csv,2965
a35y-93e7.csv,2963
c38p-gtif.csv,2957
5mw2-hzqx.csv,2951
nk7g-qeep.csv,2949
qvir-knu3.csv,2947
ffnc-f3aa.csv,2947
4n2j-ut8i.csv,2947
52b4-grs5.csv,2945
32yu-maz2.csv,2934
4tdt-h5f6.csv,2933
t8hj-ruu2.csv,2927
68k5-hdzw.csv,2927
3pge-73vq.csv,2925
cvh6-nmyi.csv,2919
weaz-wxw9.csv,2915
upwt-zvh3.csv,2915
756x-9djt.csv,2915
e544-259w.csv,2914
mi4r-ama5.csv,2913
enfh-gkve.csv,2895
crc3-tcnm.csv,2888
hc8x-tcnd.csv,2887
4k4u-823g.csv,2882
bf74-7bnx.csv,2871
4zkm-p9aw.csv,2870
3qfc-4tta.csv,2866
xqea-6ihi.csv,2842
v4se-2t5p.csv,2838
xkuq-9uzf.csv,2834
p373-rwkn.csv,2834
bug8-9f3g.csv,2830
ynaw-bmnm.csv,2828
yrf7-4wry.csv,2824
vz8c-29aj.csv,2823
yig9-9zum.csv,2822
nhms-9u6g.csv,2820
922w-z7da.csv,2812
vvj6-d5qx.csv,2810
gahm-hu5h.csv,2810
63bz-5n3b.csv,2809
gk83-aa6y.csv,2808
pd5h-92mc.csv,2806
rn6p-xvjd.csv,2804
pyif-r8qe.csv,2802
ecej-79ys.csv,2802
dt2z-amuf.csv,2800
n2rw-tynt.csv,2798
ci36-d7ea.csv,2793
5e9h-x6ak.csv,2792
ys48-9d3c.csv,2789
xc44-2jrh.csv,2784
herb-qubg.csv,2779
rbx6-tga4.csv,2772
tmr6-dfvn.csv,2770
dj4e-3xrn.csv,2769
cwx7-agsh.csv,2769
yg8h-c8c7.csv,2765
mz5e-yub2.csv,2763
xne4-4v8f.csv,2758
uzmq-2khh.csv,2758
mjux-q9d4.csv,2758
k2zg-756q.csv,2758
hvwa-bi3h.csv,2758
hdpu-mku8.csv,2752
8ecp-kw89.csv,2752
bray-s6dc.csv,2748
xphq-immx.csv,2747
rrd7-vuvp.csv,2747
p78i-pat6.csv,2746
gmhi-8qzt.csv,2746
6x2x-mkuy.csv,2741
ytju-73hj.csv,2732
fjb8-yxzv.csv,2731
8zxg-9a5c.csv,2731
dw8c-pxy2.csv,2730
usap-qc7e.csv,2725
